trat,bloco,corrected_mortality
tb,1,0.49
tb,1,0.45
tb,1,0.77
tb,1,0.77
tb,2,0.85
tb,2,-0.09
tb,2,-0.34
tb,2,0.39
tb,2,0.24
tb,2,0.39
tb,3,0.78
tb,3,0.71
tb,3,0.77
tb,3,0.7
tb,3,0.85
tp,1,0.86
tp,1,0.55
tp,1,0.77
tp,1,0.85
tp,2,0.28
tp,2,0.92
tp,2,0.77
tp,2,0.41
tp,2,0.62
tp,2,0.75
tp,3,0.77
tp,3,0.78
tp,3,0.7
tp,3,0.71
tp,3,0.85
tbtp,1,0.71
tbtp,1,0.77
tbtp,1,0.55
tbtp,1,0.55
tbtp,2,0.7
tbtp,2,0.64
tbtp,2,-0.15
tbtp,2,1
tbtp,2,0.93
tbtp,2,0.47
tbtp,3,0.86
tbtp,3,1
tbtp,3,0.92
tbtp,3,1
tbtp,3,0.85