n_vivos;n_mortos;t_ovosparas;t_ovos;trat;femea;macho;ninfa_viva;hosp_morto;experimento;n_tb;n_tp
5;9;14;20;tb;5;0;0;20;A;5;NA
11;3;14;20;tb;9;2;0;20;A;11;NA
13;4;17;20;tb;11;2;0;20;A;13;NA
9;8;17;20;tb;8;1;0;20;A;9;NA
14;5;19;20;tp;12;2;0;20;A;NA;14
14;0;14;20;tp;13;1;2;18;A;NA;14
14;3;17;20;tp;14;0;0;20;A;NA;14
13;5;18;20;tp;13;0;0;20;A;NA;13
8;9;17;20;tbtp;8;0;1;19;A;3;5
9;8;17;20;tbtp;8;1;0;20;A;7;2
10;4;14;20;tbtp;9;1;0;20;A;5;5
10;4;14;20;tbtp;10;0;0;20;A;6;4
8;10;18;20;tb;8;0;0;20;B;8;NA
1;4;5;20;tb;1;0;0;20;B;1;NA
0;2;2;20;tb;0;0;0;20;B;0;NA
11;1;12;20;tb;10;1;0;20;B;11;NA
3;7;10;20;tb;3;0;0;20;B;3;NA
5;7;12;20;tb;5;0;0;20;B;5;NA
9;2;11;20;tp;8;1;2;18;B;NA;9
15;4;19;20;tp;15;0;1;19;B;NA;15
12;5;17;20;tp;10;2;0;20;B;NA;12
9;2;11;20;tp;7;2;0;20;B;NA;9
12;3;15;20;tp;10;2;0;20;B;NA;12
12;3;15;20;tp;11;1;1;19;B;NA;12
13;3;16;20;tbtp;13;0;1;19;B;2;11
9;7;16;20;tbtp;9;0;0;20;B;4;5
3;2;5;20;tbtp;3;0;0;20;B;2;0
12;8;20;20;tbtp;10;2;0;20;B;4;8
16;3;19;20;tbtp;12;4;0;20;B;2;14
9;4;13;20;tbtp;9;0;3;17;B;0;9
17;1;18;20;tb;15;2;0;20;C;17;NA
15;2;17;20;tb;15;0;0;20;C;15;NA
14;3;17;20;tb;13;1;0;20;C;14;NA
13;3;16;20;tb;12;1;0;20;C;13;NA
12;6;18;20;tb;10;2;0;20;C;12;NA
16;1;17;20;tp;15;1;0;20;C;NA;16
17;1;18;20;tp;14;3;0;20;C;NA;17
11;5;16;20;tp;9;2;1;19;C;NA;11
16;0;16;20;tp;13;3;2;18;C;NA;16
18;0;18;20;tp;16;2;0;20;C;NA;18
11;8;19;20;tbtp;10;1;0;20;C;10;1
15;5;20;20;tbtp;14;1;0;20;C;15;0
9;9;19;20;tbtp;8;1;0;20;C;7;1
18;2;20;20;tbtp;17;1;0;20;C;15;3
13;5;19;20;tbtp;11;2;0;20;C;13;2