trat,n_tb,n_tp,n_nenhum,n_morte,total,femeas_tb,femeas_tp
tp,0,1,2,1,4,0,1
tp,0,3,1,0,4,0,3
tp,0,1,1,2,4,0,1
tp,0,1,2,1,4,0,1
tp,0,4,0,0,4,0,4
tp,0,0,2,2,4,0,0
tp,0,4,0,0,4,0,3
tp,0,4,0,0,4,0,4
tp,0,4,0,0,4,0,4
tp,0,4,0,0,4,0,3
tb,3,0,0,1,4,2,0
tb,3,0,0,1,4,1,0
tb,2,0,0,2,4,1,0
tb,2,0,0,2,4,1,0
tb,1,0,1,2,4,0,0
tb,1,0,1,2,4,0,0
tb,3,0,0,1,4,3,0
tb,0,0,1,3,4,0,0
tb,0,0,1,3,4,0,0
tb,1,0,3,0,4,1,0
tp+tb,2,0,1,0,4,2,0
tp+tb,3,0,0,1,4,3,0
tp+tb,0,3,0,1,4,0,1
tp+tb,2,1,1,0,4,0,1
tp+tb,3,0,0,1,4,1,0
tp+tb,1,0,0,3,4,0,0
tp+tb,0,1,1,2,4,0,1
tp+tb,2,0,1,1,4,1,0
tp+tb,3,0,0,1,4,3,0
tp+tb,3,0,0,1,4,3,0